line_number,sents,has_clause,type,predicate
436,The team will follow up the people for a year and monitor whether their drinking has changed and by how much.,1,polar,monitor
437,Feasibility: in this phase the organisers evaluate whether a foresight exercise is appropriate given the context and whether it will be able to yield valuable impacts on the system addressed.,1,polar,evaluate
439,We don't know whether Zimphos is meeting air quality control standards.,1,polar,know
440,"The church was rebuilt after an earthquake in 1805, but the town suffered heavy damage in World War II, and it is not known whether the traditional local practices have survived to this day.",1,polar,known
441,"It is not known whether this piece, dating from the 1st century, is actually on display, as it might be considered offensive or even blasphemous.",1,polar,known
444,"As for presidential front-runner AndrÃ©s Manuel LÃ³pez Obrador (AMLO), he may do better than expected — it will all depend on whether the electorate believes he can improve the security situation.",1,polar,depend on
445,But now the beautiful actress broke the silence and revealed whether she is indeed succumbed to his charm.,1,polar,revealed
448,"One study found that variations in the serotonin transporter gene influence whether or not a person will respond to an antidepressant such as an SSRI, which acts upon serotonin; variations in the norepinephrine transporter gene influence whether or not a person will respond to an antidepressant that acts mainly on the norepinephrine system, such as nortriptyline [ref].",1,polar,influence
449,"We're not sure whether pollsters were referring to Los Stop's version, Con su blanca palidez, though somehow we suspect not.",1,polar,sure
450,"His Bachelor thesis was titled ""Journalism & Trauma"", in which he wanted to examine whether German editorial offices are preparing their war correspondents sufficiently for their operations abroad.",1,polar,examine
454,"The scientists in New Zealand want to expand their study to find out whether other insect species worldwide transfer LHUV-1 and, if so, which ones.",1,polar,find out
463,"If the thought of only having a one glass of wine, on special occasions makes you nervous, perhaps you need to wonder whether or not alcohol is something that you are using as a coping mechanism, rather than something that you are choosing to enjoy for pleasure.",1,polar,wonder
464,Al Hamili remained non-committal on whether or not Opec would increase output in view of the of the current market volatility.,1,polar,non-committal on
465,"This article is a few years old, but a friend sent it to me asking whether it's an accurate description of living as a writer in New Orleans.",1,polar,asking
468,Attorneys also look into whether or not a company's protocols were followed and how this affected the situation.,1,polar,look into
469,"The Board members who were aware of the article should have inquired further about Sandusky and the possible risks of litigation or public relations issues, and, most importantly, whether the University has effective policies in place to protect children on its campuses.",1,polar,inquired further about
472,"For this, the Commission will also assess whether the law provides for a balance between the promotion of Ukrainian and guarantees for minority languages.",1,polar,assess
475,"But as an aside, I'm also hesitant as to whether we can really say that Jesus and people of his time were ethnically egalitarian in our modern sense.",1,polar,hesitant
480,A systematic assessment of the content of aristolochic acids in the most widely used species is needed to evaluate whether their uses pose a potential health risk.,1,polar,evaluate
481,"In China and Europe species of Aristolochia have been associated with nephropathy and it is important to evaluate whether nephropathy occurs in other parts of the world, especially India and Central America where the use of species of Aristolochia are reported to be commonly used in traditional medicine.",1,polar,evaluate
484,"With such a range of outcomes, it is fair to ask whether you need a personal injury lawyer after a car accident.",1,polar,ask
485,Seeing a doctor after the accident can help determine whether you have one of these types of injuries.,1,polar,determine
487,We think about whether that wheel was a good buy.,1,polar,think about
500,"For example, in deciding whether to grant a nonimmigrant visa, the USCIS will determine whether the applicant truly intends to return to his or her country when the visa expires.",1,polar,deciding
501,"Personal taste will dictate whether you find it wonderful or not, but I seriously doubt you'll enjoy it as much as the holiday classic that the narrator alludes to.",1,polar,dictate
503,I am trying to scout whether the Chairperson is here.,1,polar,scout
504,"Temporary Speaker, Sir, I would like the Chairperson to state:- (a) Whether he is aware that guidelines provided by the Government on how much fees public schools should charge are not followed to the letter.",1,polar,state
506,"I do not know whether I am the only one who heard my good friend, the simba from Kirinyaga mention that some"".""",1,polar,know
520,The course analyzes the criteria for determining whether or not a particular promise or voluntary agreement is legally enforceable and surveys the major legal issues affecting enforceable agreements.,1,polar,determining
523,"But when asked whether early, pre-album hits — like ‘Sweater' and ‘Turn Up Your Stereo' — ever make an appearance on live set lists, Kav shudders.",1,polar,asked
524,"Whether, in a case of such collaboration between state and federal officers, the defendant could successfully assert his privilege in the state proceeding, we need not now decide, for the record before us is barren of evidence that the State was used as an instrument of federal prosecution or investigation.",1,polar,decide
541,"Talk to your doctor to see if taking antidepressants can help to reduce your symptoms of atheophobia, as well as whether or not it is safe to do so.",1,polar,see
547,Willis therefore called on several Bulgarian ministers and they agreed to consider whether to renew the offer.,1,polar,consider
548,"The Foreign Office followed this up and the Office of Works asked the Treasury whether, if a new site was offered, it would support building a new house on it for the agent and consul-general.",1,polar,asked
558,"I question whether any of this is really possible today, though.",1,polar,question
562,The Ministry will then decide whether the relevant facility's impact on the environment is acceptable within the framework of the applicable legislation.,1,polar,decide
563,"For activities within the scope of Annex II of the EIA Regulation (projects subject to election and assessment criteria), an EIA presentation file must be submitted to the Ministry or the relevant authority, who will then assess whether preparation of an EIA report is required for the specific project.",1,polar,assess
565,"Hyperion, it was awesome, but a warning that the first few pages are pretty lack-lustre and cliche sci-fi-ish so I nearly gave up on it (and friends have had the same experience) — but once it hits the first tale (the priest's tale) it starts to get really intriguing and compelling and not cliche ... So I'd suggest waiting till you get into that before deciding whether to persist.",1,polar,deciding
569,There are a number of quizzes and symptom checkers online that you can use to try to determine whether you have anxiety.,1,polar,determine
