line_number,sents,has_clause,type,predicate
146,"Buble takes care of the ES, Rollup takes care of the modules, and I usually output an IIFE and stick it to the HTML.",0,,
148,"I don't use this approach because it little bit weird to me - all stuff in one big file, like PHP did before.",0,,
149,But you still need to use Babel and Rollup even if you need to run this code in NodeJS,0,,
150,I'm not because my modules already ready-to-use in NodeJS and ready-to-compile with Webpack.,0,,
151,This is something I still haven't fully considered yet,0,,
156,"Though dynamic imports aren't actually a thing yet, so..",0,,
158,"The intensive course is the course that has the most varied type of students, with participants of all age groups and backgrounds.",0,,
159,"This course is for students that are not able to stay for long periods in Spain, and need to improve their Spanish in a short span of time",0,,
161,"If you would like to take an intensive course and are able to stay for a three month period, take a look at the Intensive Semester programs.",0,,
162,The intensive monthly course is a 4 hour per day program that has 6 different levels available.,0,,
163,Finding Inspiration is always something I have to do to stay involved in the creative process,0,,
164,If I don’t have any inspiration I won’t create and I need to create as an outlet,0,,
165,Clearing my mind and my physical space is important,0,,
166,Usually before I can get creative I organize my space and I also need to be able to relax,0,,
167,Being in the right state of mind is extremely important for me to be inspired,0,,
168,I sometimes need to feed my creativity and nurture my own ability,0,,
169,This is sometimes difficult to find an experience that truly fuels and nurtures,0,,
170,"Listening to a song, or seeing a photograph or reading an article can be inspirational at times",0,,
171,I’d like to learn more ways so inspiration can be controlled.,0,,
174,"The fact is, not everyone intends to be your Facebook friend",0,,
175,"Everyone makes use of Facebook in different ways, some approve good friend requests from everyone, others wish to keep job and residence life different, while some people just disregard requests completely.",0,,
180,"Exhibits in Landscapes of Life include an immersive audio-visual theatre showing personal stories of remembrance, a history of remembrance timeline, with examples from the Bronze Age to the present day; and interactives, for visitors of all ages, including a memory booth where visitors can record their own stories and a digital poppy field.",0,,
181,Included in the entry price for the exhibition is access to the Arboretum’s temporary exhibition gallery and an audio guide which can be used to explore and learn about 93 of the memorials across the Arboretum site.,0,,
183,"HotelHome Paris 16 is 1,000 feet from Jasmin Metro Station, which offers direct access to the Eiffel Tower and the Champs-Élysées",0,,
185,When would you like to stay at HotelHome Paris 16?,0,,
187,We chose to buy thisapart-hotel in 2002 because we like to welcome and receive our guests not only as customers but as friends,0,,
188,We love to make their stay pleasant and comfortable in a very friendly atmosphere,0,,
190,"Choosing HotelHome Paris 16 is choosing a helpful staff, unique apartments, and a team at your service",0,,
191,Your stay will earn in quality.,0,,
192,"If you plan to arrive later than 18:00 or on a weekend, please contact the hotel in advance to obtain the main door access code.",0,,
196,"The lift is to small, so it takes time to bring the luggage to the 5th fl.",0,,
197,Beds need to be renewed because they are noisy and uncomfortable.,0,,
