line_number,sents,has_clause,type,predicate
509,"We do not see the profits of the elderly because it goes through the local administration, the District Commissioner and you wonder whether it got to the right people or whether it was eaten.",1,alternative,wonder
530,However it's not yet known whether these abnormalities are down to skin cancer or other causes.,1,alternative,known
535,It will be irrelevant whether the target is considered a good or bad person.,1,alternative,irrelevant
573,"(And whether those similarities are due to nature or nurture, does it really matter?)",1,alternative,matter
3,"It's hard to say whether DC will collect these Bill Willingham-written, Infinite Crisis-crossing stories, or whether they'll jump to the new material.",1,alternative,say
14,"Here, Greenwood succinctly counters polarised ways of thinking in terms of ""primitive"" and ""modern,"" preferring instead to judge whether the significance of important past episodes ""represented an advance or regression in the general development of psychological theory and practice"" (4).",1,alternative,judge
26,Julien Laurens is given the tough task of choosing whether Real Madrid or Barcelona should be considered La Liga favourites.,1,alternative,choosing
30,The point is that this makes it possible to readily construct a relatively simple reader which can discern (by determining the length of the respective distance a or b) whether the carrier body 10 has been inserted with the edge 13 leading or with the edge 12 leading.,1,alternative,discern
58,From our point of view it is immaterial whether the state law question as to its meaning was controverted or accepted.,1,alternative,immaterial
64,"That said, it matters little whether I am over-eating or under-eating.",1,alternative,matters
71,"Wonder whether during this thirty or forty year period of the low-fat dogma, whether breastfeeding rates went up or down.",1,alternative,Wonder
75,It is not quite clear whether it concerns a direct investment of a company resident in those countries or whether it would also apply to foreign companies investing in Curaçao through intermediary holdings in those countries.,1,alternative,clear
89,Multiplayer will include objectives that will differ depending on whether a player has chosen to fight for the Allies or Axis.,1,alternative,depending on
90,[50] It remains unclear whether these sites are the remains of the Xia dynasty or of another culture from the same period.,1,alternative,unclear
114,I'd be very curious to know whether a reunification of Ireland - either as a single Republic or as part of the UK - is even imaginable or are the differences still so strong that it's unthinkable?,1,alternative,know
131,It can also be hard to tell whether such injuries are serious or less serious.,1,alternative,tell
132,"We also serve patrons from three high schools at our public library, and that doesnt even begin to address the determining whether the people are students in one of these high schools, home schooled, early graduates, or just young looking graduates.",1,alternative,determining
133,The library should not have to deal with training staff to discern whether patrons are students or adults who look like students.,1,alternative,discern
146,It doesnt even matter whether any given piece of your writing is carefully polished already or just a new idea you dashed off on the train today  as long as its readable and well enough developed that a critique might be helpful.,1,alternative,matter
154,"Before it can be decided, however, whether this would be a monarchy or a republic, it seems necessary to settle the meaning of those terms.",1,alternative,decided
159,"However, in his evidence in chief he did not speak to whether Mandy was seated or lying down when he was picked up.",1,alternative,speak to
160,This will enable the Court to conclude whether PC Mc Vane was acting in self-defence when he shot Mandy or whether he and PC Polius acted negligently or recklessly in handling the situation and Mandy.,1,alternative,conclude
182,"So whether or not we have to be singing in order to hear this, or whether it is just going to manifest, I really do not know, but glory to God.",1,alternative,know
232,"The authors did not identify whether the subjects were stretching completely cold, or whether they had warmed up in any way prior to the stretching episode, which is common practice.",1,alternative,identify
238,"After Liberation in November 1944 the Albanian people had to decide whether to return to an almost feudal structure, welcome back the cowardly Zog or attempt to build a new society based on Communist principles.",1,alternative,decide
241,"The distance will be positive or negative depending on whether the point is outside or inside the circle, but this does not matter since the value is squared as part of the minimization process.",1,alternative,depending on
250,"After spending some time debating over whether to remain true to their artistic vision or try to be more commercial, they decided it would be better to ""go down in flames"" than compromise their musical integrity.",1,alternative,debating over
256,An officer has to decide whether to serve India after gaining experience or stay back.,1,alternative,decide
261,"In the end, its almost hard to say whether Days of Future Past is a step forward  or backward  for the X-Men.",1,alternative,say
262,Somehow he found himself back in his body - he cant recall whether the water pushed him out or if somebody pulled him to safety  but he was never again the same person.,1,alternative,recall
273,"No one is certain whether Betty is still alive or just hypnotized, but the dreamy look on her face would seem to confirm her deep love for TV dramas.",1,alternative,certain
300,There are various types of creams and these are distinguished by their fat content and or whether they have been whipped or heat treated.,1,alternative,distinguished by
301,This concerns whether they fall into tax class 1 (mostly applicable to unmarried residents) or tax class 2 (people who are married or in civil partnerships).,1,alternative,concerns
326,"LONDON (AP)  British Prime Minister Theresa May is hunkered down with close allies as she considers whether to give in to relentless pressure to resign, or fight on to save her Brexit plan and her premiership.",1,alternative,considers
339,You should check whether the doors are made of solid wood or metal.,1,alternative,check
384,"I almost asked whether shed been stabbed in a literal or metaphorical Barcelona, but it sounded snide so I didnt say anything.",1,alternative,asked
385,"The other two cats stood poised nearby, as if undecided on whether to back up their fellow or choose the better part of valor.",1,alternative,undecided
388,CFIUS would have 30 days to decide whether to require a full formal filing or determine that no further action is necessary.,1,alternative,decide
398,It is difficult to predict whether the Supreme Courts grant of certiorari in Bilski signals an intent to significantly narrow or expand the scope of patent eligibility under 35 U.S.C.,1,alternative,predict
402,"Additional studies are needed to clarify whether this effect is consequent to a structural modification of PrPC, or a dislodgment from natural interacting partners, or a modification of the membrane lipid architecture surrounding the protein.",1,alternative,clarify
415,Deciding whether you should join a team or go at it alone will have a significant impact on your success.,1,alternative,Deciding
432,"Sources do not say whether he worked for a shipping company or for a government agency, such as the Federal Maritime Commission or the New York Port Authority.",1,alternative,say
441,"To find out whether Intertops is as strong as ever, or is beginning to show its age, check out the rest of our review.",1,alternative,find out
452,"The scope of processing personal data primarily depends on whether a user simply visits one of our websites, uses them as a registered user or is just registering.",1,alternative,depends on
453,"reCAPTCHA is designed to check whether data is entered on our websites by a human or by automated software, e.g.",1,alternative,check
464,"So I called Steve Koepp, my old editor, who now supervises TIME books, and asked him whether, after nine years, TIME had run out of ways to exploit the TIME 100 or I had run out of ways to make fun of it.",1,alternative,asked
476,"We just have to guess whether the card on the card on the player or the banker who will be the winner, or the game ends in a tie.",1,alternative,guess
477,"For centuries Jewish villages had to decide whether to stay and hope to survive hard times, or whether to flee across rivers and borders with what they could carry.",1,alternative,decide
483,You cant easily configure whether you want the video to be oriented horizontally (landscape) or vertically (portrait).,1,alternative,configure
511,"This includes the rights to property, the ability to raise children, and whether you will pay or receive alimony.",1,alternative,includes
521,I've gone back and forth on whether Desire or BOTT is my favorite Dylan record (with Blonde on Blonde working it's way in there from time to time).,1,alternative,gone back and forth on
523,What difference does it make whether Jesus or the Holy Spirit lives in my heart?.,1,alternative,make
