line_number,sents,has_clause,type,predicate
393,"“Professor Carter's research is so important in preserving the planet, and I'd like to think that I'm contributing in my own small way,” said Baughman, who worked at Firestone Library from 2006 to 2008 and returned to Princeton in 2013.",1,declarative,think
425,If you are looking for a walk-in closest for the biggest wardrobe this home has it for the icing on the cake!Did I forget to mention the home has 3 zone heat and Air conditioning on 1.8 acres of property on a no thruway street,1,declarative,mention
435,"Ready-made Greens can be useful for mixing other colours too, we’re not suggesting you should chuck them out!",1,declarative,suggesting
443,You will see that small differences in the amount of black can make a big difference to the colour you make.,1,declarative,see
472,I have so many things I want to write about I fear I’m bursting at the seams,1,declarative,fear
485,"I think I was so stunned that it was meant for him that I didn’t get it at first, until my friend hit me hard in the leg and she said to me “Did YOU HEAR THAT??” And I look at C’s dad and he’s saying the same",1,declarative,think
497,In these classes there is such a mixture he understands that he can do so much more then he thought he could.,1,declarative,understands
514,He’s also told me he wants to try out for football next year,1,declarative,told
523,I don’t think I’m ready for the pain that’s going to go along with the teenage years,1,declarative,think
555,"To any studio execs who may be reading this: I can't guarantee that following my advice will help your format win the war, but doing so will certainly improve your products, and should make High-Def discs more appealing to your target customers.",1,declarative,guarantee
558,"I realize this may sound like a contradiction to my last point about getting straight to the movie, but the fact of the matter is that High-Def discs usually have a number of audio, subtitle, and other setup choices to dig through before you can finally sit down to watch the movie",1,declarative,realize
602,"Just to reiterate that while I appreciate, and even enjoy, contact from readers, I'm absolutely not interested in whatever spammy commercial venture you're proposing",1,declarative,reiterate
617,And that Jamie Schler article…I wish I were as fiery,1,declarative,wish
620,I think not letting one’s computer get in the way of real life is sound advice,1,declarative,think
638,"Later in the article, Portnoy says that for all the freedom the site allots its various personalities, the one topic Barstool bloggers and readers are both actively uninterested in is politics, a topic that’s infiltrated the sports world to an unprecedented degree in recent years due to the National Anthem protests, among other things.",1,declarative,says
656,"No matter how ridiculous the jokes, or over the top the take, it was understood by most that we are just here to make people laugh.",1,declarative,understood
663,"On that count, he knows all too well that a combative, anti-PC, anti-moral grandstanding ethos is morphing into a political ideology unto itself—one that Barstool is both defining and capitalizing on.",1,declarative,knows
692,and I guess they smelt well.,1,declarative,guess
709,Michelle Obama says her family has decided to make a Portuguese Water Dog the first dog around the Obama White House,1,declarative,says
710,The First Lady told People Magazine the Obamas are searching animal rescues for that particular breed.,1,declarative,told
712,Obama says she hopes the lucky Portuguese Water Dog will move into the White House in April after she and President Obama take their daughters on Spring Break.,1,declarative,says
714,Obama says she learned from Sen,1,declarative,says
722,"I know that Apple does provide a converter that turns the charging port into a headphone jack, but this means you have to do a lot of plugging and unplugging every time you want to listen to music - and since my strength is limited, that's difficult for me",1,declarative,know
757,"Is it accurate to say that you are a specialist in a particular field? From movement, form, cooking, to DIY, and expulsion administrations, on the off chance that you realize how to accomplish something especially well, why not tell the world through a blog or video blog? All you will require is a PC and a decent quality camera",1,declarative,say
772,I know you have made a planned to leave your 9-to-5 job,1,declarative,know
786,"Plus, I don’t think I barely snacked at all",1,declarative,think
793,"I too have been upping the healthy fats in my diet an have definitely noticed that I can last for up to 6 hours without feeling hunger pains!! Nevertheless, its really hard for me to get past the “fat is bad” hurdle because everyone and everything is telling us to eat no or less fat",1,declarative,noticed
795,"Some people say that you shouldn’t eat a lot of fats when you eat a raw diet, as it is hard on the digestive tract",1,declarative,say
821,Do you think the 01753476428 was a harass phone number?,1,declarative,think
822,NationalLedger.com reports that Christina Aguilera risked re-igniting her feud with Britney Spears by a comment made on her wedding day,1,declarative,reports
824,Christina’s rep denies she made any comment however.,1,declarative,denies
834,"In this sense, Mignolo argues that while modernity is not strictly a European phenomenon, its rhetoric -as Dussel argues- is formed by European philosophers, academics and politicians",1,declarative,argues
838,"Business guests appreciate that our downtown hotel's location in Lexington, KY is close to IBM, PNC Bank, Fifth Third Bank, Ashland and UPS",1,declarative,appreciate
872,AEPi is proud to say that we are one of the loudest Jewish voices on campus,1,declarative,say
875,"On January 31, 2015, The Sacramento Bee reported that the AEPi building in Davis had been tagged with two large swastikas",1,declarative,reported
907,I think this is just too cool for school!!!!!,1,declarative,think
971,"With this issue, they said they thought it was a virus and would have it running the next day",1,declarative,said
973,Click said that would not be an issue.,1,declarative,said
974,I checked in with the in 2 days (when the repair should have been complete) and was told it would be one more day - they were doing some final tests,1,declarative,told
975,The next day I learned that they had not put any real time evaluating my laptop and would require a couple more days,1,declarative,learned
978,After two more days they said they needed to repair the backlight before trying to determine the other problem,1,declarative,said
1029,"​Digging a little deeper, we managed to find out that Carole Baskin, CEO of Big Cat Rescue, and Wayne Pacelle, CEO of the HSUS, are former colleagues.",1,declarative,find out
1033,It's interesting to know that Wayne was a co-founder of the Humane Society Legislative Fund,1,declarative,know
1042,"At Radon Fan Guys, we understand that you have to stay within your price range and save cash everywhere you're able to",1,declarative,understand
1045,"We use the finest materials and techniques to ensure that your task is going to tolerate the years, and cost less money with techniques which do not affect the excellence of any project",1,declarative,ensure
1078,"Then he shocked her by declaring that he was offering “living water” greater than Jacob’s well, greater than either the Temple or the holy places of Samaria",1,declarative,declaring
1087,The Founders Scholarship was created in 2010 by fifteen individuals or couples to ensure that all graduating Mackinac Island students have an opportunity for a multi-year scholarship award,1,declarative,ensure
1102,"The Local Government Association estimates that by 2025, the funding gap will grow to £3bn for children’s social care alone.",1,declarative,estimates
1103,We are told that ministers are minded to appoint a commissioner shortly to intervene in the council’s operations to stabilise and improve child protection services,1,declarative,told
1107,"Northampton’s leader, Matt Golby, has been quoted as saying that no children will be put in danger as a result of propose cuts, but it is difficult to see how this could be the case",1,declarative,saying
1110,"But the government is already backing down on this claim, with Jo Farrar, director general to the Ministry of Housing, Communities and Local Government, telling the public accounts committee this week that they do not expect these funds to buy additional capacity",1,declarative,telling
1138,She believes this map will help students complete their homework on time.,1,declarative,believes
1142,"In this criminal complaint, the government claims that Khaalid Adam Abdulkadir made death threats against FBI agents in various Twitter posts",1,declarative,claims
1147,"The government agreed that its informant was responsible for first alerting law enforcement to the Twitter communications, but refused disclosure under the government–informant privilege.",1,declarative,agreed
1156,The court held that Abdulkadir failed to show that the FBI’s confidential informant was material to his defense,1,declarative,held
1158,"The court noted that the case remains in the pre-indictment stage, and will permit Abdulkadir to renew his motion at a later date",1,declarative,noted
1171,"The sting operation, however, allegedly reveals that our personal data may not be totally secure in the hands of a digital payments giant and that it may have sold it to other third-parties out there",1,declarative,reveals
1178,Please ensure you revisit this page and re–check for any updates/changes before the date of the fixture.,1,declarative,ensure
1180,"I know these are just models, but we always like to share them with you",1,declarative,know
1206,Many have been speculating that the announcement is for the long awaited next installment in the Persona series,1,declarative,speculating
1241,"You could argue that these elements fall under the category of story, which Persona 3 won anyway, but I feel they are significant enough to make a difference",1,declarative,argue
1265,"This is to inform you that you have been selected for a cash prize of £850,000.00 (Eight hundred and fifty thousand Great British Pounds) from the BMW AUTOMOBILE GROUP e-LOTTERY BONANZA International programs held TODAY Teusday the 6th of MARCH 2007, here in London United Kingdom.",1,declarative,inform
1276,I think that does a good job of summarising my feelings towards friends who drift away over time.,1,declarative,think
1289,"According to the Children's Action Network, nationwide each year 20,000 children age out of the foster care system, but experts say they are still in need of a family as they embark on work and college.",1,declarative,say
1317,"Executive producer Brandon Margolis revealed that Fletcher, the hacker who helps Mike and Marcus in both films, would also appear in the show.",1,declarative,revealed
1334,Valentino still loves MotoGP and last year he demonstrated that he still can be competitive,1,declarative,demonstrated
1336,Maverick Vinales admits he was puzzled by why he was uncompetitive on the second day of Valencia's post-season MotoGP test on Wednesday having topped the times on day one.,1,declarative,admits
1337,"Repsol Honda Team Principal Livio Suppo has said that he and Honda aren’t surprised by the pace and performances of new Yamaha recruit Maverick Viñales, but that they are of his team-mate, Valentino Rossi.",1,declarative,said
1354,"Introducing the bill, Law Minister Ravi Shankar Prasad said despite the Supreme Court striking down the practice of talaq-e-biddat (instant triple talaq) as unconstitutional, men were divorcing their wives on flimsy grounds and even via Whatsapp.",1,declarative,said
1362,"Putin, speaking in International Investments Forum in Sochi, said that Russia's inflation rate would be 7 percent this year.",1,declarative,said
1363,"He reminded that in 2009, Russia's GDP dropped by 7.9 percent, inflation reached 9 percent.",1,declarative,reminded
1364,"August was the first month since May when industrial output in Russia was above zero and reaches 0.1 percent, thus Nabiullina called August ""a good month"", admitting that in agricultural sector growth was negative by 9.6 percent.",1,declarative,admitting
1433,i have ensured that the wireless sync is activated on the handhelds as well,1,declarative,ensured
1435,"Firstly, I must say that my comments below are not a criticism of teachers, who work very hard against all the odds, but of education systems that have 'lost their way'",1,declarative,say
1440,"I believe only the chemistry specialist has the 'depth of knowledge' to enthuse the students, which in turn leads to an increased uptake in the subject.",1,declarative,believe
1458,74% thought it was too noisy.,1,declarative,thought
1459,81% said the bathroom was dirty.,1,declarative,said
1462,"Everyone is aware that finding someone close to you can be tiring, so we founded our site with three ideas as our goal: we want to make finding locals easy, mobile, and totally free",1,declarative,aware
1467,Simply adjust your settings and know you will find exactly who you want at the ideal time for you.,1,declarative,know
1470,"I’ve been blogging for over three years now, mostly as a passion and I have only became more professional in the recent months but never thought I’d end up making up a start a blog tutorial",1,declarative,thought
1472,"That makes me really happy, I know I had a hard time getting a blog up!",1,declarative,know
1501,"Please note you will be billed a year a time, but as you can see, it works out to a very reasonable monthly amount",1,declarative,note
1503,"Fill in your billing information, confirm that you’ve read the fine print and then click Next.",1,declarative,confirm
1523,"I hope my start a blog tutorial has been of help and I look forward to hear your input and also read your new, beautiful blogs",1,declarative,hope
1528,"Irving Azoff Claims YouTube ""Pirates"" Are ""Really Evil""",1,declarative,Claims
1529,Will Someone Explain To The RIAA That SOPA Didn't Pass?,1,declarative,explain
1530,"(Buffalo, NY) – New York State Senator Chris Jacobs announced that he has secured $120,000 in state funding for the twelve branch libraries in the 60th Senate District",1,declarative,announced
